PlateName	Plate	Well	Content	siRNAID	GeneID	LocusID	Accession
P1	1	H17	NA	NA	NA	NA	NA
P1	1	H18	NA	NA	NA	NA	NA
P1	1	H19	NA	NA	NA	NA	NA
P1	1	H20	NA	NA	NA	NA	NA
P1	1	H21	NA	NA	NA	NA	NA
P1	1	H22	NA	NA	NA	NA	NA
P1	1	H23	NA	NA	NA	NA	NA
P1	1	H24	NA	NA	NA	NA	NA
P1	1	I01	NA	NA	NA	NA	NA
P1	1	I02	NA	NA	NA	NA	NA
P1	1	I03	NA	NA	NA	NA	NA
P1	1	I04	NA	NA	NA	NA	NA
P1	1	I05	NA	NA	NA	NA	NA
P1	1	I06	NA	NA	NA	NA	NA
P1	1	I07	NA	NA	NA	NA	NA
P1	1	I08	NA	NA	NA	NA	NA
P1	1	I09	NA	NA	NA	NA	NA
P1	1	I10	NA	NA	NA	NA	NA
P1	1	I11	NA	NA	NA	NA	NA
P1	1	I12	NA	NA	NA	NA	NA
P1	1	I13	NA	NA	NA	NA	NA
P1	1	I14	NA	NA	NA	NA	NA
P1	1	I15	NA	NA	NA	NA	NA
P1	1	I16	NA	NA	NA	NA	NA
P1	1	I17	NA	NA	NA	NA	NA
P1	1	I18	NA	NA	NA	NA	NA
P1	1	I19	NA	NA	NA	NA	NA
P1	1	I20	NA	NA	NA	NA	NA
P1	1	I21	NA	NA	NA	NA	NA
P1	1	I22	NA	NA	NA	NA	NA
P1	1	I23	NA	NA	NA	NA	NA
P1	1	I24	NA	NA	NA	NA	NA
P1	1	J01	NA	NA	NA	NA	NA
P1	1	J02	NA	NA	NA	NA	NA
P1	1	J03	NA	NA	NA	NA	NA
P1	1	J04	NA	NA	NA	NA	NA
P1	1	J05	NA	NA	NA	NA	NA
P1	1	J06	NA	NA	NA	NA	NA
P1	1	J07	NA	NA	NA	NA	NA
P1	1	J08	NA	NA	NA	NA	NA
P1	1	J09	NA	NA	NA	NA	NA
P1	1	J10	NA	NA	NA	NA	NA
P1	1	J11	NA	NA	NA	NA	NA
P1	1	J12	NA	NA	NA	NA	NA
P1	1	J13	NA	NA	NA	NA	NA
P1	1	J14	NA	NA	NA	NA	NA
P1	1	J15	NA	NA	NA	NA	NA
P1	1	J16	NA	NA	NA	NA	NA
P1	1	J17	NA	NA	NA	NA	NA
P1	1	J18	NA	NA	NA	NA	NA
P1	1	J19	NA	NA	NA	NA	NA
P1	1	J20	NA	NA	NA	NA	NA
P1	1	J21	NA	NA	NA	NA	NA
P1	1	J22	NA	NA	NA	NA	NA
P1	1	J23	NA	NA	NA	NA	NA
P1	1	J24	NA	NA	NA	NA	NA
P1	1	K01	NA	NA	NA	NA	NA
P1	1	K02	NA	NA	NA	NA	NA
P1	1	K03	NA	NA	NA	NA	NA
P1	1	K04	NA	NA	NA	NA	NA
P1	1	K05	NA	NA	NA	NA	NA
P1	1	K06	NA	NA	NA	NA	NA
P1	1	K07	NA	NA	NA	NA	NA
P1	1	K08	NA	NA	NA	NA	NA
P1	1	K09	NA	NA	NA	NA	NA
P1	1	K10	NA	NA	NA	NA	NA
P1	1	K11	NA	NA	NA	NA	NA
P1	1	K12	NA	NA	NA	NA	NA
P1	1	K13	NA	NA	NA	NA	NA
P1	1	K14	NA	NA	NA	NA	NA
P1	1	K15	NA	NA	NA	NA	NA
P1	1	K16	NA	NA	NA	NA	NA
P1	1	K17	NA	NA	NA	NA	NA
P1	1	K18	NA	NA	NA	NA	NA
P1	1	K19	NA	NA	NA	NA	NA
P1	1	K20	NA	NA	NA	NA	NA
P1	1	K21	NA	NA	NA	NA	NA
P1	1	K22	NA	NA	NA	NA	NA
P1	1	K23	NA	NA	NA	NA	NA
P1	1	K24	NA	NA	NA	NA	NA
P1	1	L01	NA	NA	NA	NA	NA
P1	1	L02	NA	NA	NA	NA	NA
P1	1	L03	NA	NA	NA	NA	NA
P1	1	L04	NA	NA	NA	NA	NA
P1	1	L05	NA	NA	NA	NA	NA
P1	1	L06	NA	NA	NA	NA	NA
P1	1	L07	NA	NA	NA	NA	NA
P1	1	L08	NA	NA	NA	NA	NA
P1	1	L09	NA	NA	NA	NA	NA
P1	1	L10	NA	NA	NA	NA	NA
P1	1	L11	NA	NA	NA	NA	NA
P1	1	L12	NA	NA	NA	NA	NA
P1	1	L13	NA	NA	NA	NA	NA
P1	1	L14	NA	NA	NA	NA	NA
P1	1	L15	NA	NA	NA	NA	NA
P1	1	L16	NA	NA	NA	NA	NA
P1	1	L17	NA	NA	NA	NA	NA
P1	1	L18	NA	NA	NA	NA	NA
P1	1	L19	NA	NA	NA	NA	NA
P1	1	L20	NA	NA	NA	NA	NA
P1	1	L21	NA	NA	NA	NA	NA
P1	1	L22	NA	NA	NA	NA	NA
P1	1	L23	NA	NA	NA	NA	NA
P1	1	L24	NA	NA	NA	NA	NA
P1	1	M01	NA	NA	NA	NA	NA
P1	1	M02	NA	NA	NA	NA	NA
P1	1	M03	NA	NA	NA	NA	NA
P1	1	M04	NA	NA	NA	NA	NA
P1	1	M05	NA	NA	NA	NA	NA
P1	1	M06	NA	NA	NA	NA	NA
P1	1	M07	NA	NA	NA	NA	NA
P1	1	M08	NA	NA	NA	NA	NA
P1	1	M09	NA	NA	NA	NA	NA
P1	1	M10	NA	NA	NA	NA	NA
P1	1	M11	NA	NA	NA	NA	NA
P1	1	M12	NA	NA	NA	NA	NA
P1	1	M13	NA	NA	NA	NA	NA
P1	1	M14	NA	NA	NA	NA	NA
P1	1	M15	NA	NA	NA	NA	NA
P1	1	M16	NA	NA	NA	NA	NA
P1	1	M17	NA	NA	NA	NA	NA
P1	1	M18	NA	NA	NA	NA	NA
